year,month,total,min,max
2011, 1, 504.00, 0.0, 116.0
2011, 2, 867.00, 0.0, 193.0
2011, 3, 564.00, 0.0, 202.0
2011, 4, 104.00, 0.0, 22.0
2011, 5, 27.00, 0.0, 6.0
2011, 6, 95.00, 0.0, 58.0
2011, 7, 28.00, 0.0, 8.0
2011, 8, 28.00, 0.0, 7.0
2011, 9, 31.00, 0.0, 18.0
2011, 10, 401.00, 0.0, 195.0
2011, 11, 129.00, 0.0, 41.0
2011, 12, 222.00, 0.0, 61.0
2012, 1, 291.00, 0.0, 86.0
2012, 2, 321.00, 0.0, 55.0
2012, 3, 1129.00, 0.0, 188.0
2012, 4, 213.00, 0.0, 81.0
2012, 5, 210.00, 0.0, 109.0
2012, 6, 47.00, 0.0, 30.0
2012, 7, 74.00, 0.0, 55.0
2012, 8, 20.00, 0.0, 7.0
2012, 9, 16.00, 0.0, 4.0
2012, 10, 64.00, 0.0, 25.0
2012, 11, 36.00, 0.0, 12.0
2012, 12, 35.00, 0.0, 20.0
2013, 1, 561.00, 0.0, 248.0
2013, 2, 158.00, 0.0, 35.0
2013, 3, 350.00, 0.0, 66.0
2013, 4, 128.00, 0.0, 40.0
2013, 5, 215.00, 0.0, 54.0
2013, 6, 35.00, 0.0, 7.0
2013, 7, 91.00, 0.0, 17.0
2013, 8, 14.00, 0.0, 5.0
2013, 9, 66.00, 0.0, 17.0
2013, 10, 31.00, 0.0, 17.0
2013, 11, 185.00, 0.0, 36.0
2013, 12, 90.00, 0.0, 18.0
2014, 1, 404.00, 0.0, 131.0
2014, 2, 496.00, 0.0, 63.0
2014, 3, 372.00, 0.0, 125.0
2014, 4, 517.00, 0.0, 235.0
2014, 5, 167.00, 0.0, 48.0
2014, 6, 124.00, 0.0, 35.0
2014, 7, 63.00, 0.0, 14.0
2014, 8, 59.00, 0.0, 17.0
2014, 9, 6.00, 0.0, 2.0
2014, 10, 12.00, 0.0, 4.0
2014, 11, 20.00, 0.0, 9.0
2014, 12, 65.00, 0.0, 44.0
2015, 1, 267.00, 0.0, 51.0
2015, 2, 739.00, 0.0, 297.0
2015, 3, 312.00, 0.0, 118.0
2015, 4, 83.00, 0.0, 33.0
2015, 5, 47.00, 0.0, 12.0
2015, 6, 222.00, 0.0, 44.0
2015, 7, 38.00, 0.0, 6.0
2015, 8, 24.00, 0.0, 13.0
2015, 9, 30.00, 0.0, 19.0
2015, 10, 87.00, 0.0, 17.0
2015, 11, 92.00, 0.0, 17.0
2015, 12, 358.00, 0.0, 88.0
2016, 1, 73.00, 0.0, 19.0
2016, 2, 136.00, 0.0, 35.0
2016, 3, 212.00, 0.0, 63.0
2016, 4, 151.00, 0.0, 22.0
2016, 5, 224.00, 0.0, 117.0
2016, 6, 102.00, 0.0, 31.0
2016, 7, 145.00, 0.0, 54.0
2016, 8, 43.00, 0.0, 9.0
2016, 9, 75.00, 0.0, 21.0
2016, 10, 27.00, 0.0, 11.0
2016, 11, 23.00, 0.0, 9.0
2016, 12, 158.00, 0.0, 71.0
2017, 1, 384.00, 0.0, 43.0
2017, 2, 601.00, 0.0, 159.0
2017, 3, 224.00, 0.0, 47.0
2017, 4, 217.00, 0.0, 61.0
2017, 5, 67.00, 0.0, 16.0
2017, 6, 54.00, 0.0, 11.0
2017, 7, 100.00, 0.0, 35.0
2017, 8, 7.00, 0.0, 2.0
2017, 9, 61.00, 0.0, 46.0
2017, 10, 194.00, 0.0, 101.0
2017, 11, 118.00, 0.0, 29.0
2017, 12, 40.00, 0.0, 14.0
2018, 1, 701.00, 0.0, 140.0
2018, 2, 424.00, 0.0, 160.0
2018, 3, 1297.00, 0.0, 244.0
2018, 4, 64.00, 0.0, 33.0
2018, 5, 35.00, 0.0, 13.0
2018, 6, 58.00, 0.0, 14.0
2018, 7, 45.00, 0.0, 34.0
2018, 8, 5.00, 0.0, 2.0
2018, 9, 8.00, 0.0, 2.0
2018, 10, 23.00, 0.0, 7.0
2018, 11, 29.00, 0.0, 11.0
2018, 12, 1240.00, 0.0, 250.0
2019, 1, 891.00, 0.0, 219.0
2019, 2, 432.00, 0.0, 103.0
2019, 3, 488.00, 0.0, 97.0
2019, 4, 323.00, 0.0, 122.0
2019, 5, 127.00, 0.0, 24.0
2019, 6, 6.00, 0.0, 6.0
2019, 7, 5.00, 0.0, 2.0
2019, 8, 38.00, 0.0, 13.0
2019, 9, 5.00, 0.0, 3.0
2019, 10, 92.00, 0.0, 39.0
2019, 11, 6.00, 0.0, 3.0
2019, 12, 93.00, 0.0, 21.0
2020, 1, 505.00, 0.0, 159.0
2020, 2, 342.00, 0.0, 81.0
2020, 3, 225.00, 0.0, 49.0
2020, 4, 108.00, 0.0, 41.0
2020, 5, 204.00, 0.0, 79.0
2020, 6, 90.00, 0.0, 23.0
2020, 7, 72.00, 0.0, 40.0
2020, 8, 24.00, 0.0, 8.0
