year,month,total,min,max
2020,1,507.50,0.00,225.00
2020,2,278.50,0.00,60.00
2020,3,167.50,0.00,35.00
2020,4,33.00,0.00,12.00
2020,5,214.50,0.00,87.00
2020,6,76.50,0.00,21.50
2020,7,72.00,0.00,45.00
2020,8,23.50,0.00,7.50
